사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2019-05,1호선,0150,서울역,"1,568,570","1,489,737","247,801","242,107",2019-06-03 10:56:20
2019-05,1호선,0151,시청,"709,821","727,110","112,279","112,016",2019-06-03 10:56:20
2019-05,1호선,0152,종각,"1,204,910","1,151,371","176,083","164,915",2019-06-03 10:56:20
2019-05,1호선,0153,종로3가,"699,000","647,664","408,682","382,809",2019-06-03 10:56:20
2019-05,1호선,0154,종로5가,"561,662","578,374","307,515","295,535",2019-06-03 10:56:20
2019-05,1호선,0155,동대문,"338,565","385,522","151,904","158,360",2019-06-03 10:56:20
2019-05,1호선,0156,신설동,"386,676","376,451","131,597","126,524",2019-06-03 10:56:20
2019-05,1호선,0157,제기동,"297,370","286,647","353,695","375,436",2019-06-03 10:56:20
2019-05,1호선,0158,청량리(서울시립대입구),"480,600","499,265","336,216","341,637",2019-06-03 10:56:20
2019-05,1호선,0159,동묘앞,"204,325","225,362","171,004","173,844",2019-06-03 10:56:20
2019-05,2호선,0201,시청,"742,471","719,019","65,213","60,288",2019-06-03 10:56:20
2019-05,2호선,0202,을지로입구,"1,458,984","1,462,646","122,625","113,191",2019-06-03 10:56:20
2019-05,2호선,0203,을지로3가,"631,678","629,124","96,041","94,877",2019-06-03 10:56:20
2019-05,2호선,0204,을지로4가,"289,575","295,316","97,370","92,916",2019-06-03 10:56:20
2019-05,2호선,0205,동대문역사문화공원,"565,829","659,176","66,155","70,818",2019-06-03 10:56:20
2019-05,2호선,0206,신당,"373,697","387,807","110,881","113,045",2019-06-03 10:56:20
2019-05,2호선,0207,상왕십리,"392,943","366,902","74,458","74,948",2019-06-03 10:56:20
2019-05,2호선,0208,왕십리(성동구청),"598,446","477,936","64,527","54,497",2019-06-03 10:56:20
2019-05,2호선,0209,한양대,"399,102","464,782","17,421","18,934",2019-06-03 10:56:20
2019-05,2호선,0210,뚝섬,"558,111","595,170","68,993","69,296",2019-06-03 10:56:20
2019-05,2호선,0211,성수,"797,223","878,780","114,884","116,456",2019-06-03 10:56:20
2019-05,2호선,0212,건대입구,"1,378,810","1,494,957","105,074","109,681",2019-06-03 10:56:20
2019-05,2호선,0213,구의(광진구청),"662,806","629,776","116,901","117,767",2019-06-03 10:56:20
2019-05,2호선,0214,강변(동서울터미널),"1,310,416","1,289,645","160,160","155,742",2019-06-03 10:56:20
2019-05,2호선,0215,잠실나루,"435,371","420,614","98,291","98,961",2019-06-03 10:56:20
2019-05,2호선,0216,잠실(송파구청),"2,539,574","2,462,479","233,044","219,947",2019-06-03 10:56:20
2019-05,2호선,0217,잠실새내,"693,826","697,802","122,023","121,641",2019-06-03 10:56:20
2019-05,2호선,0218,종합운동장,"455,844","527,807","67,352","71,812",2019-06-03 10:56:20
2019-05,2호선,0219,삼성(무역센터),"1,781,824","1,842,623","134,802","127,716",2019-06-03 10:56:20
2019-05,2호선,0220,선릉,"1,460,528","1,300,444","234,778","207,100",2019-06-03 10:56:20
2019-05,2호선,0221,역삼,"1,269,095","1,438,098","174,383","177,850",2019-06-03 10:56:20
2019-05,2호선,0222,강남,"2,894,341","2,974,378","192,979","172,755",2019-06-03 10:56:20
2019-05,2호선,0223,교대(법원.검찰청),"970,396","1,101,853","178,269","199,422",2019-06-03 10:56:20
2019-05,2호선,0224,서초,"628,816","621,293","96,652","96,486",2019-06-03 10:56:20
2019-05,2호선,0225,방배,"578,480","598,972","88,906","88,095",2019-06-03 10:56:20
2019-05,2호선,0226,사당,"1,171,893","1,316,118","229,867","219,309",2019-06-03 10:56:20
2019-05,2호선,0227,낙성대,"850,997","815,655","124,433","126,274",2019-06-03 10:56:20
2019-05,2호선,0228,서울대입구(관악구청),"1,509,438","1,455,697","222,610","213,945",2019-06-03 10:56:20
2019-05,2호선,0229,봉천,"631,091","567,922","166,938","167,409",2019-06-03 10:56:20
